tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,48.45905,17.1936,309.25,23 de April,Rohožník,Bratislavský kraj,SK,Eslovaquia
24h,45.37654,30.9271,333.27,23 de April,NA,NA,NA,Mundo
24h,48.28328,14.32764,295.8,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.28597,14.32911,297.24,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.27755,14.33455,329.55,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.27682,14.3417,323.64,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.27444,14.32651,303.36,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.27298,14.34084,307.93,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.2706,14.32564,296.04,23 de April,Linz,Oberösterreich,AT,Austria
24h,48.26218,14.33105,296.45,23 de April,Linz,Oberösterreich,AT,Austria
24h,47.98644,16.60585,295.42,23 de April,Mannersdorf am Leithagebirge,Niederösterreich,AT,Austria
24h,48.38558,2.98521,297.99,23 de April,Provins,Île-de-France,FR,Francia
24h,45.42258,27.9627,301.99,23 de April,Galați,Galați,RO,Rumanía
24h,45.42134,27.96799,315.29,23 de April,Galați,Galați,RO,Rumanía
24h,46.94078,18.93826,308.07,23 de April,Dunaújváros,Fejér vármegye,HU,Hungría
24h,46.9393,18.94838,298.42,23 de April,Dunaújváros,Fejér vármegye,HU,Hungría
24h,46.93602,18.94736,313.71,23 de April,Dunaújváros,Fejér vármegye,HU,Hungría
24h,45.44132,22.27313,300.41,23 de April,Var,Caraș-Severin,RO,Rumanía
24h,46.06708,13.62749,303.07,23 de April,Gorenja vas,NA,SI,Eslovenia
24h,45.45258,18.03545,297.07,23 de April,Grad Našice,Osječko-baranjska županija,HR,Croacia
24h,45.46366,10.4528,337.3,23 de April,Lonato del Garda,Lombardia,IT,Italia
24h,45.46319,10.45913,326.38,23 de April,Lonato del Garda,Lombardia,IT,Italia
24h,45.4592,10.45205,323.03,23 de April,Lonato del Garda,Lombardia,IT,Italia
24h,45.45873,10.45838,320.45,23 de April,Lonato del Garda,Lombardia,IT,Italia
24h,45.14551,9.94159,342.62,23 de April,Spinadesco,Lombardia,IT,Italia
24h,45.14531,9.94271,342.78,23 de April,Spinadesco,Lombardia,IT,Italia
24h,41.79873,26.70135,295.96,23 de April,Lalapaşa,Edirne,TR,Turquía
24h,43.79663,7.37523,301.2,23 de April,Nice,Provence-Alpes-Côte d'Azur,FR,Francia
24h,41.54814,19.72538,296.23,23 de April,Bashkia Krujë,Shqipëria Veriore,AL,Albania
24h,40.51782,17.20999,313.77,23 de April,Taranto,Puglia,IT,Italia
24h,40.50989,17.21729,297.54,23 de April,Taranto,Puglia,IT,Italia
24h,40.5073,17.21193,325.27,23 de April,Taranto,Puglia,IT,Italia
24h,40.50333,17.21557,302.35,23 de April,Taranto,Puglia,IT,Italia
24h,40.50265,17.22008,299.32,23 de April,Taranto,Puglia,IT,Italia
24h,40.50141,17.20571,312.54,23 de April,Taranto,Puglia,IT,Italia
24h,40.50073,17.21021,298.65,23 de April,Taranto,Puglia,IT,Italia
24h,40.49294,17.19412,301.71,23 de April,Taranto,Puglia,IT,Italia
24h,40.31524,15.90283,295.62,23 de April,Viggiano,Basilicata,IT,Italia
24h,38.79484,15.20873,311.46,23 de April,Lipari,Sicilia,IT,Italia
24h,38.79417,15.21367,306.56,23 de April,Lipari,Sicilia,IT,Italia
24h,38.20443,15.26787,304.12,23 de April,Milazzo,Sicilia,IT,Italia
24h,37.75045,14.99049,313.9,23 de April,Belpasso,Sicilia,IT,Italia
24h,37.43943,15.03173,302.72,23 de April,Catania,Sicilia,IT,Italia
24h,37.21294,15.1696,298.61,23 de April,Augusta,Sicilia,IT,Italia
24h,37.2096,15.16885,299.13,23 de April,Augusta,Sicilia,IT,Italia
24h,37.12113,15.22048,299.01,23 de April,Priolo Gargallo,Sicilia,IT,Italia
24h,65.76961,24.19114,338.36,23 de April,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,65.76608,24.18887,331.33,23 de April,Tornio,Lapin aluehallintovirasto,FI,Finlandia
