tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,43.52779,-5.73065,316.99, 3 de agosto,Gijón / Xixón,Asturias / Asturies,ES,España
24h,43.33035,-5.77348,301.37, 3 de agosto,Oviedo,Asturias / Asturies,ES,España
24h,41.31269,1.65915,307.27, 3 de agosto,Santa Margarida i els Monjos,Barcelona,ES,España
24h,40.24405,-3.47438,329.54, 3 de agosto,Morata de Tajuña,Comunidad de Madrid,ES,España
24h,40.00936,-3.89879,304.3, 3 de agosto,Villaluenga de la Sagra,Toledo,ES,España
24h,39.93639,-3.74618,314.6, 3 de agosto,Yepes,Toledo,ES,España
24h,39.68761,-8.90417,303.52, 3 de agosto,Maceira,Leiria,PT,Portugal
24h,38.67805,-4.06067,314.03, 3 de agosto,Puertollano,Ciudad Real,ES,España
24h,39.37023,-9.0504,316.36, 3 de agosto,Caldas da Rainha,Leiria,PT,Portugal
24h,38.50074,-8.93679,306.3, 3 de agosto,Setúbal,Setúbal,PT,Portugal
24h,38.19277,-6.62656,303.49, 3 de agosto,Fregenal de la Sierra,Badajoz,ES,España
24h,37.66804,-5.16291,318.09, 3 de agosto,Fuente Carreteros,Córdoba,ES,España
24h,37.43706,-5.21219,334, 3 de agosto,Écija,Sevilla,ES,España
24h,37.36168,-5.86479,312.8, 3 de agosto,Alcalá de Guadaíra,Sevilla,ES,España
24h,60.28886,22.29206,304.79, 3 de agosto,Pargas,Lounais-Suomen aluehallintovirasto,FI,Finlandia
24h,58.28025,6.88995,296.71, 3 de agosto,Kvinesdal,Agder,NO,Noruega
24h,52.71436,15.85277,316.29, 3 de agosto,gmina Drezdenko,województwo lubuskie,PL,Polonia
24h,51.30072,23.22495,301.32, 3 de agosto,gmina Cyców,województwo lubelskie,PL,Polonia
24h,51.13821,23.55149,300.67, 3 de agosto,gmina Chełm,województwo lubelskie,PL,Polonia
24h,51.68958,15.98115,334.3, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,50.82848,20.2723,301.42, 3 de agosto,gmina Małogoszcz,województwo świętokrzyskie,PL,Polonia
24h,50.07692,20.09964,306.58, 3 de agosto,Kraków,województwo małopolskie,PL,Polonia
24h,49.59032,20.66859,297.12, 3 de agosto,Nowy Sącz,województwo małopolskie,PL,Polonia
24h,49.95531,9.76555,299.52, 3 de agosto,Karlstadt,Bayern,DE,Alemania
24h,48.61815,21.18265,301.92, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,49.53165,8.4135,306.05, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,48.4588,17.19078,309.24, 3 de agosto,Rohožník,Bratislavský kraj,SK,Eslovaquia
24h,48.7796,10.69891,300.51, 3 de agosto,Harburg (Schwaben),Bayern,DE,Alemania
24h,48.65385,10.1635,297.66, 3 de agosto,Heidenheim an der Brenz,Baden-Württemberg,DE,Alemania
24h,48.14414,16.49596,301.16, 3 de agosto,Gemeinde Schwechat,Niederösterreich,AT,Austria
24h,47.03799,22.33503,298.51, 3 de agosto,Subpiatră,Bihor,RO,Rumanía
24h,45.78119,26.80661,318.51, 3 de agosto,Vâlcani,Vrancea,RO,Rumanía
24h,46.95354,18.92724,306.08, 3 de agosto,Dunaújváros,Fejér vármegye,HU,Hungría
24h,45.95155,25.28018,312.71, 3 de agosto,Cuciulata,Brașov,RO,Rumanía
24h,45.42186,27.96992,328.82, 3 de agosto,Galați,Galați,RO,Rumanía
24h,46.73929,15.57406,303.23, 3 de agosto,Obervogau,Steiermark,AT,Austria
24h,45.29106,25.10987,303.24, 3 de agosto,Bilcești,Argeș,RO,Rumanía
24h,45.1241,25.41871,314.59, 3 de agosto,Fieni,Dâmbovița,RO,Rumanía
24h,45.98485,17.73423,324.97, 3 de agosto,Szigetvári járás,Baranya vármegye,HU,Hungría
24h,45.68453,9.46233,300.18, 3 de agosto,Calusco d'Adda,Lombardia,IT,Italia
24h,45.42727,10.99776,301.04, 3 de agosto,Verona,Veneto,IT,Italia
24h,45.4385,8.79058,301.56, 3 de agosto,Trecate,Piemonte,IT,Italia
24h,44.68413,10.06615,302.25, 3 de agosto,Solignano,Emilia-Romagna,IT,Italia
24h,41.17819,32.63566,304.34, 3 de agosto,Karabük,Karabük,TR,Turquía
24h,41.26667,31.42504,312.95, 3 de agosto,Ereğli,Zonguldak,TR,Turquía
24h,41.2546,31.41245,301.7, 3 de agosto,Gülüç,Zonguldak,TR,Turquía
24h,40.76657,32.21848,296.34, 3 de agosto,Gerede,Bolu,TR,Turquía
24h,40.75608,31.78247,300.56, 3 de agosto,Bolu Merkez,Bolu,TR,Turquía
24h,41.79575,26.70133,303, 3 de agosto,Lalapaşa,Edirne,TR,Turquía
24h,43.6591,11.83802,299.4, 3 de agosto,Rassina,Toscana,IT,Italia
24h,42.64236,20.89867,305.43, 3 de agosto,Komuna e Drenasit / Opština Glogovac,NA,XK,Kosovo
24h,39.94384,33.19149,299.96, 3 de agosto,NA,Ankara,TR,Turquía
24h,40.75306,29.76312,304.54, 3 de agosto,Körfez,Kocaeli,TR,Turquía
24h,40.78176,29.60348,304.83, 3 de agosto,Dilovası,Kocaeli,TR,Turquía
24h,43.44946,4.89024,311.98, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,40.24005,28.96667,302.44, 3 de agosto,Nilüfer,Bursa,TR,Turquía
24h,40.40219,27.29464,302.81, 3 de agosto,Biga,Çanakkale,TR,Turquía
24h,39.57846,29.86429,298.23, 3 de agosto,Kütahya Merkez,Kütahya,TR,Turquía
24h,41.93151,14.80661,323.54, 3 de agosto,Montenero di Bisaccia,Molise,IT,Italia
24h,41.32848,19.80681,304.48, 3 de agosto,Tiranë,Shqipëria Qendrore,AL,Albania
24h,41.83584,15.1396,312.17, 3 de agosto,Serracapriola,Puglia,IT,Italia
24h,38.2096,33.99262,298.74, 3 de agosto,Aksaray Merkez,Aksaray,TR,Turquía
24h,40.1426,25.93405,308.68, 3 de agosto,Gökçeada,Çanakkale,TR,Turquía
24h,41.72356,15.03145,307.5, 3 de agosto,Santa Croce di Magliano,Molise,IT,Italia
24h,41.61481,15.24179,301.7, 3 de agosto,Torremaggiore,Puglia,IT,Italia
24h,39.86444,26.24424,314.43, 3 de agosto,Bozalan,Çanakkale,TR,Turquía
24h,40.76829,20.77545,300.53, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,38.66079,30.62001,300.1, 3 de agosto,Afyonkarahisar Merkez,Afyonkarahisar,TR,Turquía
24h,41.32766,15.330260000000001,318.17, 3 de agosto,Orsara di Puglia,Puglia,IT,Italia
24h,40.63044,18.00057,313.69, 3 de agosto,Brindisi,Puglia,IT,Italia
24h,38.15468,30.84723,302.57, 3 de agosto,Yalvaç,Isparta,TR,Turquía
24h,40.46122,18.08835,306.97, 3 de agosto,Lecce,Puglia,IT,Italia
24h,40.52255,17.20463,315.8, 3 de agosto,Statte,Puglia,IT,Italia
24h,40.51836,17.20912,328.94, 3 de agosto,Taranto,Puglia,IT,Italia
24h,38.7562,26.95209,321.87, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,40.09775,18.22478,302.66, 3 de agosto,Cutrofiano,Puglia,IT,Italia
24h,40.31609,15.8963,299.71, 3 de agosto,Viggiano,Basilicata,IT,Italia
24h,38.42897,27.21605,311.58, 3 de agosto,Bornova,Ege Bölgesi,TR,Turquía
24h,37.25498,30.44162,304.34, 3 de agosto,Döşemealtı,Burdur,TR,Turquía
24h,38.79808,15.20974,310.06, 3 de agosto,Lipari,Sicilia,IT,Italia
24h,39.08044,9.01554,306.01, 3 de agosto,Sarroccu/Sarroch,Sardigna/Sardegna,IT,Italia
24h,38.19654,15.66753,329.95, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,37.67864,13.04925,338.17, 3 de agosto,Santa Margherita di Belice,Sicilia,IT,Italia
24h,37.47252,14.94116,306.12, 3 de agosto,Belpasso,Sicilia,IT,Italia
24h,37.38741,14.64021,328.34, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.43537,13.42142,306.96, 3 de agosto,Cattolica Eraclea,Sicilia,IT,Italia
24h,37.25684,14.87795,303.45, 3 de agosto,Lentini,Sicilia,IT,Italia
24h,37.21156,15.16996,310.04, 3 de agosto,Augusta,Sicilia,IT,Italia
24h,37.12213,14.42135,307.19, 3 de agosto,Niscemi,Sicilia,IT,Italia
24h,59.6467,6.35917,328.4, 3 de agosto,Sauda,Rogaland,NO,Noruega
24h,51.1846,16.11558,297.03, 3 de agosto,Legnica,województwo dolnośląskie,PL,Polonia
24h,52.1666,10.42716,299.31, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,48.60812,21.17448,301.32, 3 de agosto,Veľká Ida,Košický kraj,SK,Eslovaquia
24h,51.27078,11.65983,303.32, 3 de agosto,Unstruttal,Sachsen-Anhalt,DE,Alemania
24h,52.4935,4.6077,301.76, 3 de agosto,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.48582,4.59009,297.01, 3 de agosto,Velsen,Noord-Holland,NL,Países Bajos
24h,48.76741,11.5855,304.18, 3 de agosto,Vohburg an der Donau,Bayern,DE,Alemania
24h,45.51013,10.24811,304.93, 3 de agosto,Brescia,Lombardia,IT,Italia
24h,45.64595,1.3695600000000001,302.16, 3 de agosto,Limoges,Nouvelle-Aquitaine,FR,Francia
24h,78.05544,14.21955,328.88, 3 de agosto,Barentsburg,Svalbard,NO,Noruega
24h,37.70414,33.3441,331.09, 3 de agosto,Karapınar,Konya,TR,Turquía
24h,38.48596,32.31486,343.15, 3 de agosto,Kadınhanı,Konya,TR,Turquía
24h,38.98645,31.90865,347.8, 3 de agosto,Adakasım Mahallesi,Konya,TR,Turquía
24h,38.98767,31.76965,356.14, 3 de agosto,Yukarıaliçomak Mahallesi,Konya,TR,Turquía
24h,39.04829,31.90254,343.85, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.82164,28.12251,335.48, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,41.45753,26.67556,340.83, 3 de agosto,Elçili Köyü,Edirne,TR,Turquía
24h,42.36089,21.38851,348.96, 3 de agosto,Komuna e Kllokotit / Opština Klokot,NA,XK,Kosovo
24h,44.26877,27.14245,332.19, 3 de agosto,Potcoava,Călărași,RO,Rumanía
24h,42.51697,21.20962,367, 3 de agosto,Komuna e Lipjanit / Opština Lipljan,NA,XK,Kosovo
24h,44.18704,23.08471,329.21, 3 de agosto,Gemeni,Mehedinți,RO,Rumanía
24h,44.1908,22.98921,328.48, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.34478,22.9996,332.95, 3 de agosto,Ștircovița,Mehedinți,RO,Rumanía
24h,61.21299,17.15627,349.3, 3 de agosto,Söderhamns kommun,Gävleborgs län,SE,Suecia
24h,65.76865,24.19435,332.77, 3 de agosto,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,41.15295,15.78069,343.56, 3 de agosto,Cerignola,Puglia,IT,Italia
24h,37.58086,12.73013,355.64, 3 de agosto,Campobello di Mazara,Sicilia,IT,Italia
24h,38.31245,16.25178,345.81, 3 de agosto,Mammola,Calabria,IT,Italia
24h,38.32209,15.91147,336.33, 3 de agosto,San Procopio,Calabria,IT,Italia
24h,37.86597,13.09301,340.9, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.94104,12.97869,345.32, 3 de agosto,Alcamo,Sicilia,IT,Italia
24h,38.00428,13.09103,340.2, 3 de agosto,Partinico,Sicilia,IT,Italia
24h,37.95819,12.58875,348.02, 3 de agosto,Paceco,Sicilia,IT,Italia
24h,38.62709,16.16995,334.33, 3 de agosto,Stefanaconi,Calabria,IT,Italia
24h,38.93253,16.39431,335.2, 3 de agosto,Serrastretta,Calabria,IT,Italia
24h,39.5837,16.78681,337.88, 3 de agosto,Mirto,Calabria,IT,Italia
24h,40.08291,18.13183,345.98, 3 de agosto,Neviano,Puglia,IT,Italia
24h,40.20779,17.93951,344.55, 3 de agosto,Nardò,Puglia,IT,Italia
24h,41.10744,27.42552,367, 3 de agosto,Muratlı,Marmara Bölgesi,TR,Turquía
24h,40.44256,17.91731,337.13, 3 de agosto,San Donaci,Puglia,IT,Italia
24h,40.5496,16.57899,343.86, 3 de agosto,Miglionico,Basilicata,IT,Italia
24h,40.67931,16.75443,341, 3 de agosto,Laterza,Puglia,IT,Italia
24h,39.30708,8.94376,352.63, 3 de agosto,Deximumannu/Decimomannu,Sardigna/Sardegna,IT,Italia
24h,40.68561,16.52895,343.89, 3 de agosto,Matera,Basilicata,IT,Italia
24h,40.93004,17.11325,339.44, 3 de agosto,Conversano,Puglia,IT,Italia
24h,40.86769,16.18325,340.76, 3 de agosto,Genzano di Lucania,Basilicata,IT,Italia
24h,41.31878,19.52303,334.76, 3 de agosto,Bashkia Durrës,Shqipëria Veriore,AL,Albania
24h,41.0144,17.03658,338.11, 3 de agosto,Rutigliano,Puglia,IT,Italia
24h,41.48305,19.66933,342.87, 3 de agosto,Bashkia Krujë,Shqipëria Veriore,AL,Albania
24h,40.80167,14.48052,337.75, 3 de agosto,Terzigno,Campania,IT,Italia
24h,40.99444,15.72058,341.35, 3 de agosto,Rapolla,Basilicata,IT,Italia
24h,41.06906,15.95182,341.79, 3 de agosto,Montemilone,Basilicata,IT,Italia
24h,41.05301,15.77162,337.29, 3 de agosto,Lavello,Basilicata,IT,Italia
24h,41.07268,15.72097,338.66, 3 de agosto,Melfi,Basilicata,IT,Italia
24h,41.12539,15.80196,347.5, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.10056,15.58649,337.48, 3 de agosto,Candela,Puglia,IT,Italia
24h,41.43144,15.84753,336.06, 3 de agosto,Manfredonia,Puglia,IT,Italia
24h,41.4516,15.7043,336.81, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.50343,15.45498,339.15, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.65125,15.55635,345.74, 3 de agosto,Rignano Garganico,Puglia,IT,Italia
24h,41.67858,15.46507,338.4, 3 de agosto,San Severo,Puglia,IT,Italia
24h,41.79186,15.33173,338.34, 3 de agosto,Apricena,Puglia,IT,Italia
24h,41.79224,15.0603,341.92, 3 de agosto,Ururi,Molise,IT,Italia
24h,41.88808,15.56924,346.82, 3 de agosto,San Nicandro Garganico,Puglia,IT,Italia
24h,41.97271,14.74345,353.64, 3 de agosto,Mafalda,Molise,IT,Italia
24h,42.13676,14.43398,338.73, 3 de agosto,Atessa,Abruzzo,IT,Italia
24h,43.7256,25.53576,336.03, 3 de agosto,Bujoru,Teleorman,RO,Rumanía
24h,43.95901,24.22508,339.54, 3 de agosto,Amărăștii de Jos,Dolj,RO,Rumanía
24h,44.22491,24.54256,336.61, 3 de agosto,Izvoarele,Olt,RO,Rumanía
24h,43.53305,13.35703,332.04, 3 de agosto,Polverigi,Marche,IT,Italia
24h,43.42505,11.67424,352.53, 3 de agosto,Laterina Pergine Valdarno,Toscana,IT,Italia
24h,41.178,0.59309,367, 3 de agosto,Vinebre,Tarragona,ES,España
24h,46.4692,27.10606,330.86, 3 de agosto,Nănești,Bacău,RO,Rumanía
24h,42.35004,-1.71237,335.28, 3 de agosto,Peralta/Azkoien,Navarra - Nafarroa,ES,España
24h,45.92699,12.6483,335.5, 3 de agosto,Pordenone,Friuli-Venezia Giulia,IT,Italia
24h,45.97073,12.62139,338.09, 3 de agosto,Porcia,Friuli-Venezia Giulia,IT,Italia
24h,46.06801,13.22232,335.49, 3 de agosto,Udine,Friuli-Venezia Giulia,IT,Italia
24h,45.52978,9.80358,330.55, 3 de agosto,Cortenuova,Lombardia,IT,Italia
24h,45.57106,9.35567,340.2, 3 de agosto,Agrate Brianza,Lombardia,IT,Italia
24h,45.56284,9.29279,337.57, 3 de agosto,Monza,Lombardia,IT,Italia
24h,48.08857,10.74182,332.79, 3 de agosto,Buchloe,Bayern,DE,Alemania
24h,48.34938,11.83357,332.94, 3 de agosto,Oberding (VGem),Bayern,DE,Alemania
24h,47.9672,9.51908,330.12, 3 de agosto,Verwaltungsverband Altshausen,Baden-Württemberg,DE,Alemania
24h,48.08043,9.81311,325.32, 3 de agosto,Biberach an der Riß,Baden-Württemberg,DE,Alemania
24h,48.43612,11.08959,347.42, 3 de agosto,Aichach,Bayern,DE,Alemania
24h,48.60284,11.83046,331.02, 3 de agosto,Mainburg (VGem),Bayern,DE,Alemania
24h,48.25375,9.64268,336.72, 3 de agosto,Munderkingen,Baden-Württemberg,DE,Alemania
24h,48.25803,9.64674,342.84, 3 de agosto,Ehingen (Donau),Baden-Württemberg,DE,Alemania
24h,48.54218,11.10774,334.05, 3 de agosto,Pöttmes,Bayern,DE,Alemania
24h,48.39245,10.04167,347.36, 3 de agosto,Neu-Ulm,Bayern,DE,Alemania
24h,48.62634,11.28749,335.96, 3 de agosto,Schrobenhausen,Bayern,DE,Alemania
24h,48.83364,10.54066,334.12, 3 de agosto,Ries,Bayern,DE,Alemania
24h,53.13195,8.68345,331.45, 3 de agosto,Bremen,Bremen,DE,Alemania
24h,54.04147,9.03571,339.58, 3 de agosto,Mitteldithmarschen,Schleswig-Holstein,DE,Alemania
24h,36.8671,15.10463,333.92, 3 de agosto,Noto,Sicilia,IT,Italia
24h,38.55501,28.15944,333.57, 3 de agosto,Salihli,Manisa,TR,Turquía
24h,37.30538,14.03351,351.29, 3 de agosto,Sommatino,Sicilia,IT,Italia
24h,37.30013,13.90176,343.39, 3 de agosto,Naro,Sicilia,IT,Italia
24h,38.99368,31.25143,354.98, 3 de agosto,Karacalar,Afyonkarahisar,TR,Turquía
24h,37.39551,13.45406,336.93, 3 de agosto,Agrigento,Sicilia,IT,Italia
24h,37.68768,15.17136,343.1, 3 de agosto,Giarre,Sicilia,IT,Italia
24h,39.17325,-9.12121,345.01, 3 de agosto,Alenquer,Lisboa,PT,Portugal
24h,39.17654,-9.122,345.07, 3 de agosto,Cadaval,Lisboa,PT,Portugal
24h,40.77443,-3.17417,346.78, 3 de agosto,Yunquera de Henares,Guadalajara,ES,España
24h,40.14232,-8.81485,344.86, 3 de agosto,Figueira da Foz,Coimbra,PT,Portugal
24h,41.09542,-7.23091,338.37, 3 de agosto,Freixo de Numão,Guarda,PT,Portugal
24h,41.01862,34.11259,300.5, 3 de agosto,Tosya,Kastamonu,TR,Turquía
24h,36.2677,33.72499,303.82, 3 de agosto,Silifke,Mersin,TR,Turquía
24h,36.87967,6.95129,320.61, 3 de agosto,Skikda ⵙⴽⵉⴽⴷⴰ skikda,En el skik,DZ,Argelia
24h,36.87028,6.98612,322.77, 3 de agosto,Hamadi Krouma ⵃⴻⵎⵎⴰⴷⵉ ⴽⵔⵓⵎⴰ Hammadi Karma,En el skik,DZ,Argelia
24h,36.76431,7.30956,312.24, 3 de agosto,Bekkouche Lakhdar ⴱⴻⴽⴽⵓⵛ ⵍⴻⵅⴹⴻⵔ Green Kush,En el skik,DZ,Argelia
24h,36.74844,6.25597,321.44, 3 de agosto,El Milia ⵍⵎⵉⵍⵉⵢⴰ milla,Jijel,DZ,Argelia
24h,36.68398,4.74189,355.11, 3 de agosto,Clima fenaïa,Béjaïa,DZ,Argelia
24h,36.08626,6.80549,304.11, 3 de agosto,Sigus ⵙⵉⴳⵓⵙ Sigus,Oum el Boughi,DZ,Argelia
24h,36.33628,5.48323,309.35, 3 de agosto,Beni Fouda,Sofocar,DZ,Argelia
24h,36.74844,3.07914,308.14, 3 de agosto,Beloizdadd ⴱⴱⴱⴱⴱⴱⴱⴱⴱⴱⴱⴱ a,Alero,DZ,Argelia
24h,36.68054,3.12219,329.92, 3 de agosto,Cuartel,Alero,DZ,Argelia
24h,36.62979,3.23385,309.14, 3 de agosto,Meftah ⵎⴻⴼⵜⴰⵃ clave,Blida,DZ,Argelia
24h,35.86979,6.0287,304.12, 3 de agosto,Aïn Djasser ⵙⵙⴻⴱⵜ ⴱⵓⵖⵣⴰⵍ Ain Jasser,Mejorar,DZ,Argelia
24h,36.51704,2.76863,306.88, 3 de agosto,Oued el Alleg ⵡⴻⴷ ⵍⵄⴻⵍⵍⴰⵢⴻⴳ Wadi al -Alaik,Blida,DZ,Argelia
